👤 Users & Points Backup
════════════════════════════════════════

ID: 7606499525 | User: @INTANETO7701 | Points: 5.838383838383839e+25 | Game Points: 0
ID: 8091441056 | User: @XK8383 | Points: 123 | Game Points: 0
ID: 8550198013 | User: @gggg_gggggggggggggm | Points: 9 | Game Points: 0
ID: 8233364270 | User: @hywhd | Points: 0 | Game Points: 0
ID: 7426487861 | User: @Simo_bn67 | Points: 1 | Game Points: 0
ID: 6973089454 | User: @SZSMYLOVE | Points: 0 | Game Points: 0
ID: 8732645417 | User: @realsofiejaney | Points: 0 | Game Points: 0
ID: 8617789317 | User: @y_99jj | Points: 6 | Game Points: 0
ID: 1333069681 | User: @Ygyhh8 | Points: 5 | Game Points: 0
ID: 6747090237 | User: @Band1toos9 | Points: 1 | Game Points: 0
ID: 5470248877 | User: @Griffithhhhhhhhhh | Points: 3 | Game Points: 0
ID: 8142429524 | User: @ValentinaMeris62 | Points: 1 | Game Points: 0
ID: 7984028116 | User: @D0NLEE | Points: 1 | Game Points: 0
ID: 7517941553 | User: @Skddr | Points: 2 | Game Points: 0
ID: 934982546 | User: @raee9625 | Points: 1 | Game Points: 0
ID: 7340645902 | User: @jlourd456 | Points: 4 | Game Points: 0
ID: 8543217070 | User: @Saad26260 | Points: 1 | Game Points: 0
ID: 8125889654 | User: @𝗟𝗨𝗙𝗙𝗬 ꭗ 𝐄ᴍᴘᴇʀᴏʀ 🜲 ❮ 𝙏𝙀𝘼𝙈_𝙕𝙍𝙐𝙓❯ | Points: 34 | Game Points: 0
ID: 8581533850 | User: @SASUKEUCHIHA0123 | Points: 6 | Game Points: 0
ID: 6039182041 | User: @Eg_LA | Points: 11 | Game Points: 0
ID: 5791313762 | User: @imedboukoubaa93 | Points: 1 | Game Points: 0
ID: 8069558211 | User: @Yt_legend_gmr | Points: 6 | Game Points: 0
ID: 7608993297 | User: @arif1504a | Points: 1 | Game Points: 0
ID: 8463169005 | User: @IMRAN_KING_8 | Points: 0 | Game Points: 0
ID: 2016552725 | User: @Shahnwaz | Points: 18 | Game Points: 0
ID: 1127145866 | User: @fr_void | Points: 1 | Game Points: 0
ID: 5863227312 | User: @Notnoytme | Points: 3 | Game Points: 0
ID: 6259489270 | User: @provivi15022022 | Points: 3 | Game Points: 0
ID: 5086954019 | User: @Martin18140 | Points: 1 | Game Points: 0
ID: 273291573 | User: @Phystonn | Points: 1 | Game Points: 0
ID: 8285816827 | User: @profesor1920 | Points: 1 | Game Points: 0
ID: 991653522 | User: @BacKBencHerS_5 | Points: 1 | Game Points: 0
ID: 8012197433 | User: @AurelianNoctivar | Points: 2 | Game Points: 0
ID: 1134292389 | User: @ARUSHxGODZ | Points: 3 | Game Points: 0
ID: 6003004685 | User: @𖣂 | Points: 6 | Game Points: 0
ID: 8285347507 | User: @juandavidsantoscaceres | Points: 1 | Game Points: 0
ID: 7887211929 | User: @—͟͞͞S P I D E R M A N | Points: 11 | Game Points: 0
ID: 1479770725 | User: @S | Points: 1 | Game Points: 0
ID: 1831731635 | User: @Mester7779 | Points: 1 | Game Points: 0
ID: 7127958990 | User: @porquenoya | Points: 1 | Game Points: 0
ID: 6512242172 | User: @UrSahil0 | Points: 1 | Game Points: 0
ID: 6452846368 | User: @Felling_blessed1 | Points: 1 | Game Points: 0
ID: 552433571 | User: @Mahdidaw | Points: 1 | Game Points: 0
ID: 7641184469 | User: @LORDHEMANT9090 | Points: 1 | Game Points: 0
ID: 6529336535 | User: @مازن | Points: 1 | Game Points: 0
ID: 6038405642 | User: @khantminmyat7 | Points: 6 | Game Points: 0
ID: 7488198555 | User: @abdu_cardio | Points: 1 | Game Points: 0
ID: 7569095347 | User: @Prime1596 | Points: 19 | Game Points: 0
ID: 8107612648 | User: @Justt_patron7 | Points: 1 | Game Points: 0
ID: 5764495002 | User: @Justt_patron2 | Points: 1 | Game Points: 0
ID: 7730156303 | User: @Rabahzinal | Points: 1 | Game Points: 0
ID: 8093340095 | User: @medtouli1 | Points: 1 | Game Points: 0
ID: 1836786468 | User: @Haro | Points: 2 | Game Points: 0
ID: 7666340211 | User: @Koaobo8888 | Points: 0 | Game Points: 0
ID: 5832140616 | User: @opasgfh1209 | Points: 2 | Game Points: 0
ID: 8628953100 | User: @Misa | Points: 1 | Game Points: 0
ID: 6782787561 | User: @kingofrespection | Points: 2 | Game Points: 0
ID: 6325992235 | User: @Ks_is_love | Points: 2 | Game Points: 0
ID: 6578630041 | User: @Dreamlfe_tm | Points: 1 | Game Points: 0
ID: 5554270533 | User: @mushfiqur_007 | Points: 3 | Game Points: 0
ID: 8192359178 | User: @🫂 | Points: 1 | Game Points: 0
ID: 7971463584 | User: @mhdhh_nd | Points: 4 | Game Points: 0
ID: 1320388729 | User: @EDDY2229 | Points: 1 | Game Points: 0
ID: 8146169194 | User: @OSFIXED | Points: 1 | Game Points: 0
ID: 7442837091 | User: @PieroPacherre | Points: 1 | Game Points: 0
ID: 7488595382 | User: @Abde | Points: 5 | Game Points: 0
ID: 1973260725 | User: @AFRODT2 | Points: 1 | Game Points: 0
ID: 8347120004 | User: @rafking | Points: 3 | Game Points: 0
ID: 6681134676 | User: @akso_000 | Points: 1 | Game Points: 0
ID: 7895831586 | User: @Tad | Points: 1 | Game Points: 0
ID: 7401554286 | User: @Wan_ed | Points: 1 | Game Points: 0
ID: 6534808575 | User: @kisamo0 | Points: 1 | Game Points: 0
ID: 8762128383 | User: @CASCA | Points: 1 | Game Points: 0
ID: 7904865249 | User: @Haitem | Points: 4 | Game Points: 0
ID: 7149273503 | User: @haitem | Points: 0 | Game Points: 0
ID: 7706837564 | User: @its_me_hacker1 | Points: 3 | Game Points: 0
ID: 6215053072 | User: @ISLM_DZ | Points: 2 | Game Points: 0
ID: 7323476181 | User: @Prince_gupta_3069 | Points: 8 | Game Points: 0
ID: 7424504624 | User: @Eimad75 | Points: 1 | Game Points: 0
ID: 8354267891 | User: @Uzaieb | Points: 16 | Game Points: 0
ID: 8793619113 | User: @Umar | Points: 2 | Game Points: 0
ID: 8240380952 | User: @Uzaie | Points: 1 | Game Points: 0
ID: 8436815468 | User: @yasser1bn | Points: 4 | Game Points: 0
ID: 6428748450 | User: @GYDEH | Points: 4 | Game Points: 0
ID: 7715479459 | User: @Luan777777 | Points: 1 | Game Points: 0
ID: 8471627774 | User: @MADARAUCHIHA327 | Points: 4 | Game Points: 0
ID: 6280108071 | User: @Odeth | Points: 1 | Game Points: 0
ID: 6443471338 | User: @uni_24_1 | Points: 1 | Game Points: 0
ID: 8605175914 | User: @UHAKA | Points: 1 | Game Points: 0
ID: 6059726718 | User: @dhouiher | Points: 3 | Game Points: 0
ID: 5945961688 | User: @zrexakaza | Points: 1 | Game Points: 0
ID: 7387022038 | User: @JINWO78 | Points: 1 | Game Points: 0
ID: 7951406284 | User: @Shiv Kumar | Points: 2 | Game Points: 0
ID: 8187260644 | User: @gvhjgyjy | Points: 1 | Game Points: 0
ID: 8193781318 | User: @ZENU_79 | Points: 1 | Game Points: 0
ID: 5383691951 | User: @IGRIIS11220 | Points: 1 | Game Points: 0
ID: 8528944382 | User: @MESSI_SUIEEEEEEEEE | Points: 1 | Game Points: 0
ID: 7093595948 | User: @KNOCKBACK | Points: 1 | Game Points: 0
ID: 8081366293 | User: @JINW078 | Points: 1 | Game Points: 0
ID: 7244877145 | User: @NAGIXCLOUD | Points: 1 | Game Points: 0
ID: 7407079749 | User: @𝑮𝒉𝒐𝒔𝒕ツ𝑹𝒊𝒅𝒆𝒓❮𝑻𝑬𝑨𝑴_𝒁𝑹𝑼𝑿❯ | Points: 1 | Game Points: 0
ID: 7806271068 | User: @VOIDRULLER | Points: 1 | Game Points: 0
ID: 8688537964 | User: @Fearflesh137 | Points: 1 | Game Points: 0
ID: 8553692706 | User: @PrimexMadara | Points: 1 | Game Points: 0
ID: 8764696587 | User: @ROHAAN | Points: 1 | Game Points: 0
ID: 8448576176 | User: @BHAII_78 | Points: 1 | Game Points: 0
ID: 8296574710 | User: @JEMSH_78 | Points: 1 | Game Points: 0
ID: 7952011645 | User: @YUJIITADORI676 | Points: 13 | Game Points: 0
ID: 8558910360 | User: @YUTA_Y3 | Points: 16 | Game Points: 0
ID: 8563102079 | User: @SANJI_D3 | Points: 8 | Game Points: 0
ID: 8139867569 | User: @ZORO_D3 | Points: 16 | Game Points: 0
ID: 1738509068 | User: @IamOffff | Points: 2 | Game Points: 0
ID: 8570970868 | User: @X_IF_F | Points: 1 | Game Points: 0
ID: 7209154634 | User: @𝙉𝙖𝙧𝙪𝙩𝙤 | Points: 1 | Game Points: 0
ID: 7622226244 | User: @iputal | Points: 2 | Game Points: 0
ID: 2013987282 | User: @Halim | Points: 1 | Game Points: 0
ID: 6373691176 | User: @B_Ln31 | Points: 1 | Game Points: 0
ID: 6852544988 | User: @F_r3100 | Points: 1 | Game Points: 0
ID: 8319574352 | User: @salah | Points: 1 | Game Points: 0
ID: 8528527213 | User: @bouzidi3100 | Points: 1 | Game Points: 0
ID: 6022255848 | User: @RanaAliTG | Points: 2 | Game Points: 0
ID: 5913169601 | User: @Mutjazim | Points: 3 | Game Points: 0
ID: 6179760675 | User: @Liltlesnow | Points: 20 | Game Points: 0
ID: 1843439769 | User: @nosalucky | Points: 2 | Game Points: 0
ID: 7242497776 | User: @Sanusi | Points: 1 | Game Points: 0
